[31-01-2017 10-09-57] INFO: Initialized video subsystem
[31-01-2017 10-10-12] DEBUG: Mouse Button (3) State: Up
[31-01-2017 10-10-12] DEBUG: Mouse Button (2) State: Down
[31-01-2017 10-10-12] DEBUG: Mouse Button (2) State: Up
[31-01-2017 10-10-13] DEBUG: Key (98/b) State: Down
[31-01-2017 10-10-13] DEBUG: Key (98/b) State: Up
[31-01-2017 10-10-13] DEBUG: Key (101/e) State: Down
[31-01-2017 10-10-14] DEBUG: Key (110/n) State: Down
[31-01-2017 10-10-14] DEBUG: Key (101/e) State: Up
[31-01-2017 10-10-14] DEBUG: Key (114/r) State: Down
[31-01-2017 10-10-14] DEBUG: Key (110/n) State: Up
[31-01-2017 10-10-14] DEBUG: Key (111/o) State: Down
[31-01-2017 10-10-14] DEBUG: Key (114/r) State: Up
[31-01-2017 10-10-14] DEBUG: Key (97/a) State: Down
[31-01-2017 10-10-14] DEBUG: Key (111/o) State: Up
[31-01-2017 10-10-14] DEBUG: Key (115/s) State: Down
[31-01-2017 10-10-14] DEBUG: Key (100/d) State: Down
[31-01-2017 10-10-14] DEBUG: Key (112/p) State: Down
[31-01-2017 10-10-14] DEBUG: Key (97/a) State: Up
[31-01-2017 10-10-14] DEBUG: Key (115/s) State: Up
[31-01-2017 10-10-14] DEBUG: Key (112/p) State: Up
[31-01-2017 10-10-14] DEBUG: Key (100/d) State: Up
[31-01-2017 10-10-14] DEBUG: Key (97/a) State: Down
[31-01-2017 10-10-15] DEBUG: Key (115/s) State: Down
[31-01-2017 10-10-15] DEBUG: Key (100/d) State: Down
[31-01-2017 10-10-15] DEBUG: Key (97/a) State: Up
[31-01-2017 10-10-15] DEBUG: Key (115/s) State: Up
[31-01-2017 10-10-15] DEBUG: Key (100/d) State: Up
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 276, 295
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 238, 282
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 174, 192
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 147, 138
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 131, 102
[31-01-2017 10-10-15] DEBUG: Mouse Moved: 107, 88
